user;timestamp;cpu;cpu_count;ram;disco;qtd_processos;bytes_recv;package_recv;bytes_sent;package_sent;proc1_name;proc1_cpu_pct;proc2_name;proc2_cpu_pct;proc3_name;proc3_cpu_pct
servidor6.NICOLASF8SK4U2;2025-10-07 09:27:37;26.0;4;45.7;79.4;243;343004441;343004441;5518549;30999;python.exe;7.33;dwm.exe;2.25;svchost.exe;0.23
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:01;29.3;4;44.5;79.4;239;344595308;344595308;5582817;31427;MsMpEng.exe;24.98;python.exe;7.05;svchost.exe;0.55
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:13;37.0;4;44.7;79.4;237;344597811;344597811;5586991;31450;MsMpEng.exe;23.27;python.exe;7.25;chrome.exe;5.75
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:25;59.9;4;47.9;79.4;240;351153111;351153271;6208588;33098;chrome.exe;13.9;python.exe;7.05;chrome.exe;4.42
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:37;41.8;4;47.6;79.4;239;354617238;354627486;6938727;34252;chrome.exe;8.15;python.exe;6.85;dwm.exe;6.58
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:49;60.1;4;46.0;79.4;236;362730894;362730894;7652679;35953;chrome.exe;17.05;chrome.exe;13.85;chrome.exe;13.28
servidor6.NICOLASF8SK4U2;2025-10-07 09:29:00;41.1;4;45.2;79.4;233;362875840;362875840;7819223;36116;sqlservr.exe;9.55;python.exe;6.83;chrome.exe;1.1
servidor6.NICOLASF8SK4U2;2025-10-07 09:29:12;54.7;4;45.2;79.4;236;363069626;363069626;7848893;36185;explorer.exe;19.23;chrome.exe;10.05;python.exe;6.53
servidor6.NICOLASF8SK4U2;2025-10-07 09:29:24;40.3;4;45.1;79.4;232;363142346;363142432;7993006;36311;chrome.exe;19.23;python.exe;6.58;dwm.exe;6.5
servidor6.NICOLASF8SK4U2;2025-10-07 09:29:36;37.6;4;45.5;79.4;233;363195114;363195114;8063443;36466;chrome.exe;7.6;python.exe;7.05;dwm.exe;5.95
servidor6.NICOLASF8SK4U2;2025-10-07 09:29:48;53.9;4;46.4;79.4;233;364813775;364817651;8443675;37269;chrome.exe;10.75;python.exe;7.3;chrome.exe;6.08
servidor6.NICOLASF8SK4U2;2025-10-07 09:30:00;45.2;4;47.8;79.4;234;367001301;367003179;8701867;38131;chrome.exe;13.22;chrome.exe;9.85;chrome.exe;8.38
servidor6.NICOLASF8SK4U2;2025-10-07 09:30:12;49.5;4;46.5;79.4;234;367481178;367481178;8770532;38395;python.exe;6.22;dwm.exe;1.98;SynTPEnh.exe;1.4
servidor6.NICOLASF8SK4U2;2025-10-07 09:30:24;45.9;4;48.3;79.4;236;367723910;367723984;8891236;38589;chrome.exe;36.92;python.exe;5.6;chrome.exe;3.12
servidor6.NICOLASF8SK4U2;2025-10-07 09:30:36;46.3;4;46.8;79.4;234;367938374;367938993;9637278;39236;chrome.exe;8.43;chrome.exe;8.07;python.exe;6.42
servidor6.NICOLASF8SK4U2;2025-10-07 09:30:48;46.8;4;46.9;79.4;233;368144928;368144928;9755909;39425;chrome.exe;9.2;python.exe;6.17;MsMpEng.exe;1.4
servidor6.NICOLASF8SK4U2;2025-10-07 09:30:59;31.3;4;46.8;79.4;234;368153877;368153877;9771065;39458;dwm.exe;10.07;python.exe;5.95;chrome.exe;5.38
servidor6.NICOLASF8SK4U2;2025-10-07 09:31:11;7.9;4;46.9;79.4;233;368164207;368164207;9787737;39495;sqlservr.exe;13.15;python.exe;5.75;dwm.exe;4.2
servidor6.NICOLASF8SK4U2;2025-10-07 09:31:23;54.5;4;49.2;79.4;234;368226533;368226533;9939641;39673;chrome.exe;21.57;chrome.exe;13.4;dwm.exe;9.25
servidor6.NICOLASF8SK4U2;2025-10-07 09:31:35;33.1;4;48.8;79.4;233;368236720;368236720;9961602;39736;dwm.exe;7.2;chrome.exe;6.95;python.exe;6.03
servidor6.NICOLASF8SK4U2;2025-10-07 09:31:47;30.1;4;48.8;79.4;233;368286049;368286049;9988732;39857;python.exe;5.88;chrome.exe;2.62;chrome.exe;0.88
servidor6.NICOLASF8SK4U2;2025-10-07 09:31:58;23.3;4;48.5;79.4;232;368309621;368309706;10014537;39942;python.exe;6.28;chrome.exe;5.95;chrome.exe;1.15
servidor6.NICOLASF8SK4U2;2025-10-07 09:32:10;64.8;4;50.4;79.4;234;368447903;368448013;10325169;40336;chrome.exe;19.57;dwm.exe;18.77;chrome.exe;18.75
servidor6.NICOLASF8SK4U2;2025-10-07 09:32:22;44.2;4;48.5;79.4;231;368487851;368487851;10374312;40436;MsMpEng.exe;8.78;python.exe;5.8;explorer.exe;3.45
servidor6.NICOLASF8SK4U2;2025-10-07 09:32:34;48.8;4;49.4;79.4;235;368973939;368974013;10500192;40770;MsMpEng.exe;10.45;EXCEL.EXE;8.53;python.exe;7.17
servidor6.NICOLASF8SK4U2;2025-10-07 09:32:45;34.0;4;49.4;79.5;235;369328770;369328770;10711450;41142;python.exe;6.9;EXCEL.EXE;5.8;dwm.exe;2.52
servidor6.NICOLASF8SK4U2;2025-10-07 09:32:57;58.1;4;48.3;79.5;233;369364252;369366836;10754668;41276;chrome.exe;13.82;chrome.exe;8.07;chrome.exe;7.12
servidor6.NICOLASF8SK4U2;2025-10-07 09:33:09;39.6;4;48.6;79.5;235;369406290;369406290;10815916;41367;python.exe;6.28;dwm.exe;1.95;chrome.exe;1.38
servidor6.NICOLASF8SK4U2;2025-10-07 09:33:21;49.6;4;50.8;79.5;235;370681764;370682274;12269224;42213;python.exe;7.05;dwm.exe;2.75;chrome.exe;2.6
servidor6.NICOLASF8SK4U2;2025-10-07 09:33:33;15.4;4;49.9;79.5;235;371255558;371255558;12622493;42550;python.exe;6.3;sihost.exe;0.28;svchost.exe;0.28
servidor6.NICOLASF8SK4U2;2025-10-07 09:33:44;49.1;4;49.0;79.5;236;385675744;385675744;12771424;43894;MsMpEng.exe;46.75;SDXHelper.exe;11.4;python.exe;7.42
servidor6.NICOLASF8SK4U2;2025-10-07 09:33:56;21.5;4;48.9;79.5;235;385702850;385702850;12818954;43971;python.exe;6.25;chrome.exe;1.62;chrome.exe;1.38
servidor6.NICOLASF8SK4U2;2025-10-07 09:34:08;10.4;4;48.1;79.5;234;385723085;385723085;12839968;44041;python.exe;5.7;svchost.exe;0.28;svchost.exe;0.28
servidor6.NICOLASF8SK4U2;2025-10-07 09:34:20;3.0;4;48.1;79.5;234;385733907;385733907;12865861;44092;python.exe;6.08;svchost.exe;0.3;;0.0
servidor6.NICOLASF8SK4U2;2025-10-07 09:34:31;21.9;4;47.9;79.5;232;385737811;385737811;12892392;44129;sqlservr.exe;12.62;python.exe;5.45;SgrmBroker.exe;1.15
servidor6.NICOLASF8SK4U2;2025-10-07 09:34:43;16.7;4;47.8;79.5;232;385762847;385762847;12913712;44189;python.exe;5.17;chrome.exe;3.15;dwm.exe;1.43
servidor6.NICOLASF8SK4U2;2025-10-07 09:34:55;9.3;4;47.7;79.5;232;385772900;385772900;12927487;44245;python.exe;5.88;svchost.exe;0.3;99Store.exe;0.3
servidor6.NICOLASF8SK4U2;2025-10-07 09:35:06;4.3;4;47.5;79.5;232;385806285;385806285;12954525;44325;python.exe;5.3;svchost.exe;0.57;;0.0
servidor6.NICOLASF8SK4U2;2025-10-07 09:35:18;20.4;4;47.5;79.5;232;385811447;385811447;12962175;44361;chrome.exe;9.07;python.exe;6.08;dwm.exe;3.4
servidor6.NICOLASF8SK4U2;2025-10-07 09:35:30;13.5;4;47.7;79.5;234;385904042;385904042;12998210;44453;python.exe;6.28;chrome.exe;3.7;dwm.exe;1.7
servidor6.NICOLASF8SK4U2;2025-10-07 09:35:41;26.2;4;47.7;79.5;233;385946738;385946738;13034413;44537;python.exe;5.95;chrome.exe;4.83;dwm.exe;3.67
servidor6.NICOLASF8SK4U2;2025-10-07 09:35:53;25.4;4;47.6;79.5;233;385963111;385963111;13046938;44592;chrome.exe;10.6;chrome.exe;9.22;chrome.exe;6.47
servidor6.NICOLASF8SK4U2;2025-10-07 09:36:05;17.9;4;47.6;79.5;233;385990566;385990566;13073848;44664;python.exe;5.8;MsMpEng.exe;1.75;99Store.exe;1.15
servidor6.NICOLASF8SK4U2;2025-10-07 09:36:17;18.1;4;47.6;79.5;233;385993668;385993668;13078962;44686;python.exe;6.2;dwm.exe;4.25;chrome.exe;3.98
servidor6.NICOLASF8SK4U2;2025-10-07 09:36:28;27.3;4;47.5;79.5;232;386006895;386006895;13096333;44733;python.exe;5.72;chrome.exe;4.28;dwm.exe;1.43
servidor6.NICOLASF8SK4U2;2025-10-07 09:36:40;24.7;4;48.0;79.5;232;386046629;386046629;13137029;44825;sqlservr.exe;14.32;chrome.exe;13.03;chrome.exe;6.58
servidor6.NICOLASF8SK4U2;2025-10-07 09:36:52;42.2;4;47.7;79.5;231;386176072;386176072;13235047;45029;python.exe;5.67;dwm.exe;2.5;chrome.exe;2.25
servidor6.NICOLASF8SK4U2;2025-10-07 09:37:04;42.4;4;48.1;79.5;234;387534243;387534243;13284244;45371;Code.exe;15.28;Code.exe;13.05;Code.exe;9.97
