user;timestamp;cpu;cpu_count;ram;disco;qtd_processos;bytes_recv;package_recv;bytes_sent;package_sent;proc1_name;proc1_cpu_pct;proc2_name;proc2_cpu_pct;proc3_name;proc3_cpu_pct;proc4_name;proc4_cpu_pct;proc5_name;proc5_cpu_pct
servidor6.NICOLASF8SK4U2;2025-10-07 09:27:37;26.0;4;45.7;79.4;243;343004441;343004441;5518549;30999;System Idle Process;84.05;python.exe;7.33;dwm.exe;2.25;svchost.exe;0.23;System;0.0
servidor6.NICOLaASF8SK4U2;2025-10-07 09:27:49;38.4;4;47.3;79.4;247;344585882;344585882;5573933;31375;System Idle Process;67.85;MsMpEng.exe;24.45;python.exe;7.12;svchost.exe;0.55;System;0.28
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:01;29.3;4;44.5;79.4;239;344595308;344595308;5582817;31427;System Idle Process;67.8;MsMpEng.exe;24.98;python.exe;7.05;svchost.exe;0.55;services.exe;0.28
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:13;37.0;4;44.7;79.4;237;344597811;344597811;5586991;31450;System Idle Process;30.93;MsMpEng.exe;23.27;python.exe;7.25;chrome.exe;5.75;chrome.exe;5.4
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:25;59.9;4;47.9;79.4;240;351153111;351153271;6208588;33098;System Idle Process;50.98;chrome.exe;13.9;python.exe;7.05;chrome.exe;4.42;chrome.exe;4.35
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:37;41.8;4;47.6;79.4;239;354617238;354627486;6938727;34252;System Idle Process;48.65;chrome.exe;8.15;python.exe;6.85;dwm.exe;6.58;chrome.exe;5.62
servidor6.NICOLASF8SK4U2;2025-10-07 09:28:49;60.1;4;46.0;79.4;236;362730894;362730894;7652679;35953;System Idle Process;32.25;chrome.exe;17.05;chrome.exe;13.85;chrome.exe;13.28;dwm.exe;12.2
servidor6.NICOLASF8SK4U2;2025-10-07 09:29:00;41.1;4;45.2;79.4;233;362875840;362875840;7819223;36116;System Idle Process;86.35;sqlservr.exe;9.55;python.exe;6.83;chrome.exe;1.1;svchost.exe;0.28
servidor6.NICOLASF8SK4U2;2025-10-07 09:29:12;54.7;4;45.2;79.4;236;363069626;363069626;7848893;36185;System Idle Process;44.85;explorer.exe;19.23;chrome.exe;10.05;python.exe;6.53;MsMpEng.exe;3.88
servidor6.NICOLASF8SK4U2;2025-10-07 09:29:24;40.3;4;45.1;79.4;232;363142346;363142432;7993006;36311;System Idle Process;52.77;chrome.exe;19.23;python.exe;6.58;dwm.exe;6.5;SynTPEnh.exe;3.27
